gene	conMean	treatMean	logFC	pValue	fdr
IKZF1	1.30496186868597	2.89133265077951	1.14772695040533	6.62465449725504e-44	1.28338485196108e-42
FYB1	3.25804082405345	6.88941271158129	1.0803763242412	5.33895035289652e-44	1.03875904929167e-42
P4HA3	1.47329642207127	3.79899925434298	1.36657170407621	4.78112116144171e-80	5.14577651351675e-78
CYBB	9.77855141581292	20.3592927683742	1.05799477980334	8.30031189933255e-42	1.45615174213258e-40
MRC2	14.8375004966592	30.8154621024499	1.05440634747351	2.64088748398324e-67	1.48601971660982e-65
PAGE5	0.189770163073497	0.429911753207127	1.17978737211111	0.000405987510967325	0.00069668551105713
CD84	1.5573824336971	3.670372922049	1.23680339433991	3.81538746587294e-51	1.03274390069267e-49
ATOH8	0.246454359634744	0.572598685612472	1.21620385699298	1.65251394577924e-27	1.51314933279624e-26
CYP1A1	0.0390879737683742	0.152457514285078	1.96361055361665	0.00944554682652676	0.0134974773987913
PDCD1LG2	1.32831011309577	2.6773577545657	1.01121792410568	1.45443750830187e-49	3.64577209798182e-48
ADAM33	0.394925419363029	1.19803756906459	1.60102101515095	1.43817120048401e-54	4.45274877848485e-53
CCR5	2.41656015400891	5.00262697238307	1.04973097247197	1.58722027737011e-33	1.87005162305961e-32
GIMAP7	6.67205450334076	13.645580467706	1.03223078737447	3.67655490518848e-36	4.89281266626702e-35
MEOX2	1.02211852038307	2.50063331062361	1.29073102367436	1.98642649844878e-36	2.68841614226187e-35
TLR10	0.366096373082405	0.824909757922049	1.17201282155631	4.58676900557617e-25	3.76976815058294e-24
KL	0.276994026685969	0.559545032360802	1.01439937921128	4.35580100270714e-38	6.35150724706576e-37
TCF4	2.1783503545657	4.86999698218263	1.16068487000574	4.19699755593452e-101	2.27661935424112e-98
TNFSF8	0.688521272048998	1.52918258129176	1.15118753922733	2.53609994337791e-59	9.8544559690968e-58
PCOLCE	16.4751064084633	41.3046700311804	1.32601712308183	9.56568659753836e-80	1.02141949566313e-77
TLR4	2.23325516503341	5.03493694075724	1.17282561096349	2.91630859360563e-83	4.11958967061312e-81
SRPX	5.29610915786192	11.33113977951	1.09728822374032	5.55033822609263e-76	4.73384507446806e-74
LAMP5	4.8332403632294	10.6901150944321	1.14521473709149	1.38849861451331e-45	2.94209839240859e-44
